train_agent.py --algo ppo --env Adversarial-v0 --ltl-sampler Adversarial --frames-per-proc 1024 --discount 0.96 --log-interval 1 --save-interval 50 --frames 2490368 --seed 10

Namespace(algo='ppo', batch_size=256, checkpoint_dir=None, clip_eps=0.2, discount=0.96, dumb_ac=False, entropy_coef=0.01, env='Adversarial-v0', epochs=4, eval=False, eval_env=None, eval_episodes=5, eval_procs=1, frames=2490368, frames_per_proc=1024, freeze_ltl=False, gae_lambda=0.95, gnn='RGCN_8x32_ROOT_SHARED', ignoreLTL=False, int_reward=0.0, log_interval=1, lr=0.0003, ltl_sampler='Adversarial', ltl_samplers_eval=None, max_grad_norm=0.5, model=None, noLTL=False, optim_alpha=0.99, optim_eps=1e-08, pretrained_gnn=False, procs=16, progression_mode='full', recurrence=1, save_interval=50, seed=10, use_dfa=False, use_mean_guard_embed=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded.

Observations preprocessor loaded.

Model loaded.

ACModel(
  (env_model): MinigridEnvModel(
    (image_conv): Sequential(
      (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
      (1): ReLU()
      (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
      (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
      (4): ReLU()
      (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
      (6): ReLU()
    )
  )
  (gnn): RGCNRootShared(
    (linear_in): Linear(in_features=22, out_features=32, bias=True)
    (conv): RelGraphConv(
      (dropout): Dropout(p=0.0, inplace=False)
    )
    (g_embed): Linear(in_features=32, out_features=32, bias=True)
  )
  (actor): PolicyNetwork(
    (enc_): Sequential(
      (0): Sequential(
        (0): Linear(in_features=96, out_features=64, bias=True)
        (1): ReLU()
      )
      (1): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
      (2): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
    )
    (discrete_): Sequential(
      (0): Linear(in_features=64, out_features=7, bias=True)
    )
  )
  (critic): Sequential(
    (0): Linear(in_features=96, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=64, bias=True)
    (3): Tanh()
    (4): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded.

U 1 | F 016384 | FPS 0352 | D 46 | rR:μσmM 0.19 0.39 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 888.5 239.3 240.0 1000.0 | H 1.941 | V 0.004 | pL -0.001 | vL 0.001 | ∇ 0.016
U 2 | F 032768 | FPS 0329 | D 96 | rR:μσmM 0.39 0.49 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 801.8 288.6 216.0 1000.0 | H 1.939 | V 0.011 | pL 0.000 | vL 0.002 | ∇ 0.016
U 3 | F 049152 | FPS 0348 | D 143 | rR:μσmM 0.37 0.48 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 801.6 264.9 285.0 1000.0 | H 1.943 | V 0.015 | pL 0.003 | vL 0.002 | ∇ 0.016
U 4 | F 065536 | FPS 0321 | D 194 | rR:μσmM 0.28 0.45 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 814.8 317.4 119.0 1000.0 | H 1.942 | V 0.015 | pL 0.006 | vL 0.002 | ∇ 0.011
U 5 | F 081920 | FPS 0331 | D 243 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 755.0 314.3 159.0 1000.0 | H 1.936 | V 0.019 | pL 0.002 | vL 0.003 | ∇ 0.018
U 6 | F 098304 | FPS 0334 | D 293 | rR:μσmM 0.22 0.42 0.00 1.00 | ARPS: 0.001 | ADR: 0.004 | F:μσmM 863.6 301.9 67.0 1000.0 | H 1.933 | V 0.019 | pL 0.010 | vL 0.001 | ∇ 0.013
U 7 | F 114688 | FPS 0349 | D 340 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 781.5 347.0 105.0 1000.0 | H 1.936 | V 0.012 | pL 0.003 | vL 0.002 | ∇ 0.012
U 8 | F 131072 | FPS 0335 | D 388 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 716.2 334.8 86.0 1000.0 | H 1.931 | V 0.015 | pL -0.003 | vL 0.004 | ∇ 0.019
U 9 | F 147456 | FPS 0337 | D 437 | rR:μσmM 0.47 0.50 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 809.9 263.8 285.0 1000.0 | H 1.926 | V 0.009 | pL -0.004 | vL 0.003 | ∇ 0.016
U 10 | F 163840 | FPS 0336 | D 486 | rR:μσmM 0.35 0.48 0.00 1.00 | ARPS: 0.004 | ADR: 0.021 | F:μσmM 741.1 378.9 22.0 1000.0 | H 1.928 | V 0.012 | pL 0.000 | vL 0.003 | ∇ 0.016
U 11 | F 180224 | FPS 0366 | D 531 | rR:μσmM 0.33 0.47 0.00 1.00 | ARPS: 0.005 | ADR: 0.028 | F:μσmM 756.0 384.3 15.0 1000.0 | H 1.921 | V 0.016 | pL 0.004 | vL 0.002 | ∇ 0.015
U 12 | F 196608 | FPS 0381 | D 574 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.004 | ADR: 0.016 | F:μσmM 624.6 390.8 35.0 1000.0 | H 1.908 | V 0.018 | pL -0.004 | vL 0.005 | ∇ 0.022
