train_agent.py --algo ppo --env Adversarial-v0 --ltl-sampler Adversarial --frames-per-proc 1024 --discount 0.96 --log-interval 1 --save-interval 50 --frames 2490368 --seed 2

Namespace(algo='ppo', batch_size=256, checkpoint_dir=None, clip_eps=0.2, discount=0.96, dumb_ac=False, entropy_coef=0.01, env='Adversarial-v0', epochs=4, eval=False, eval_env=None, eval_episodes=5, eval_procs=1, frames=2490368, frames_per_proc=1024, freeze_ltl=False, gae_lambda=0.95, gnn='RGCN_8x32_ROOT_SHARED', ignoreLTL=False, int_reward=0.0, log_interval=1, lr=0.0003, ltl_sampler='Adversarial', ltl_samplers_eval=None, max_grad_norm=0.5, model=None, noLTL=False, optim_alpha=0.99, optim_eps=1e-08, pretrained_gnn=False, procs=16, progression_mode='full', recurrence=1, save_interval=50, seed=2, use_dfa=False, use_mean_guard_embed=False, value_loss_coef=0.5)

Device: cpu

train_agent.py --algo ppo --env Adversarial-v0 --ltl-sampler Adversarial --frames-per-proc 1024 --discount 0.96 --log-interval 1 --save-interval 50 --frames 2490368 --seed 2

Namespace(algo='ppo', batch_size=256, checkpoint_dir=None, clip_eps=0.2, discount=0.96, dumb_ac=False, entropy_coef=0.01, env='Adversarial-v0', epochs=4, eval=False, eval_env=None, eval_episodes=5, eval_procs=1, frames=2490368, frames_per_proc=1024, freeze_ltl=False, gae_lambda=0.95, gnn='RGCN_8x32_ROOT_SHARED', ignoreLTL=False, int_reward=0.0, log_interval=1, lr=0.0003, ltl_sampler='Adversarial', ltl_samplers_eval=None, max_grad_norm=0.5, model=None, noLTL=False, optim_alpha=0.99, optim_eps=1e-08, pretrained_gnn=False, procs=16, progression_mode='full', recurrence=1, save_interval=50, seed=2, use_dfa=False, use_mean_guard_embed=False, value_loss_coef=0.5)

Device: cpu

train_agent.py --algo ppo --env Adversarial-v0 --ltl-sampler Adversarial --frames-per-proc 1024 --discount 0.96 --log-interval 1 --save-interval 50 --frames 2490368 --seed 2

Namespace(algo='ppo', batch_size=256, checkpoint_dir=None, clip_eps=0.2, discount=0.96, dumb_ac=False, entropy_coef=0.01, env='Adversarial-v0', epochs=4, eval=False, eval_env=None, eval_episodes=5, eval_procs=1, frames=2490368, frames_per_proc=1024, freeze_ltl=False, gae_lambda=0.95, gnn='RGCN_8x32_ROOT_SHARED', ignoreLTL=False, int_reward=0.0, log_interval=1, lr=0.0003, ltl_sampler='Adversarial', ltl_samplers_eval=None, max_grad_norm=0.5, model=None, noLTL=False, optim_alpha=0.99, optim_eps=1e-08, pretrained_gnn=False, procs=16, progression_mode='full', recurrence=1, save_interval=50, seed=2, use_dfa=False, use_mean_guard_embed=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded.

Observations preprocessor loaded.

Model loaded.

ACModel(
  (env_model): MinigridEnvModel(
    (image_conv): Sequential(
      (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
      (1): ReLU()
      (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
      (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
      (4): ReLU()
      (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
      (6): ReLU()
    )
  )
  (gnn): RGCNRootShared(
    (linear_in): Linear(in_features=22, out_features=32, bias=True)
    (conv): RelGraphConv(
      (dropout): Dropout(p=0.0, inplace=False)
    )
    (g_embed): Linear(in_features=32, out_features=32, bias=True)
  )
  (actor): PolicyNetwork(
    (enc_): Sequential(
      (0): Sequential(
        (0): Linear(in_features=96, out_features=64, bias=True)
        (1): ReLU()
      )
      (1): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
      (2): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
    )
    (discrete_): Sequential(
      (0): Linear(in_features=64, out_features=7, bias=True)
    )
  )
  (critic): Sequential(
    (0): Linear(in_features=96, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=64, bias=True)
    (3): Tanh()
    (4): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded.

U 1 | F 016384 | FPS 0314 | D 52 | rR:μσmM 0.19 0.39 0.00 1.00 | ARPS: 0.000 | ADR: 0.000 | F:μσmM 903.8 225.0 231.0 1000.0 | H 1.944 | V -0.050 | pL -0.046 | vL 0.001 | ∇ 0.015
U 2 | F 032768 | FPS 0323 | D 102 | rR:μσmM 0.12 0.33 0.00 1.00 | ARPS: 0.000 | ADR: 0.000 | F:μσmM 958.8 136.1 440.0 1000.0 | H 1.945 | V -0.023 | pL -0.022 | vL 0.001 | ∇ 0.010
U 3 | F 049152 | FPS 0322 | D 153 | rR:μσmM 0.38 0.48 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 843.4 255.7 213.0 1000.0 | H 1.943 | V -0.011 | pL -0.017 | vL 0.002 | ∇ 0.015
U 4 | F 065536 | FPS 0305 | D 207 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 812.0 320.2 131.0 1000.0 | H 1.942 | V -0.006 | pL -0.013 | vL 0.002 | ∇ 0.012
U 5 | F 081920 | FPS 0322 | D 258 | rR:μσmM 0.26 0.44 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 817.7 314.1 172.0 1000.0 | H 1.941 | V -0.002 | pL -0.008 | vL 0.002 | ∇ 0.013
U 6 | F 098304 | FPS 0315 | D 310 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 819.3 292.5 146.0 1000.0 | H 1.941 | V 0.003 | pL -0.005 | vL 0.002 | ∇ 0.012
U 7 | F 114688 | FPS 0313 | D 362 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.003 | F:μσmM 730.3 308.9 68.0 1000.0 | H 1.936 | V 0.010 | pL -0.006 | vL 0.004 | ∇ 0.019
U 8 | F 131072 | FPS 0301 | D 417 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 812.6 302.9 124.0 1000.0 | H 1.939 | V 0.006 | pL -0.004 | vL 0.002 | ∇ 0.014
U 9 | F 147456 | FPS 0304 | D 470 | rR:μσmM 0.29 0.45 0.00 1.00 | ARPS: 0.003 | ADR: 0.021 | F:μσmM 775.5 365.4 28.0 1000.0 | H 1.939 | V 0.010 | pL 0.001 | vL 0.002 | ∇ 0.012
U 10 | F 163840 | FPS 0330 | D 520 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 690.4 340.3 108.0 1000.0 | H 1.925 | V 0.014 | pL -0.001 | vL 0.003 | ∇ 0.021
U 11 | F 180224 | FPS 0332 | D 569 | rR:μσmM 0.32 0.47 0.00 1.00 | ARPS: 0.002 | ADR: 0.004 | F:μσmM 790.4 322.1 58.0 1000.0 | H 1.926 | V 0.017 | pL 0.005 | vL 0.002 | ∇ 0.017
U 12 | F 196608 | FPS 0356 | D 615 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.001 | ADR: 0.001 | F:μσmM 822.5 300.7 106.0 1000.0 | H 1.929 | V 0.013 | pL 0.003 | vL 0.002 | ∇ 0.011
U 13 | F 212992 | FPS 0319 | D 667 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.004 | ADR: 0.016 | F:μσmM 655.5 383.8 29.0 1000.0 | H 1.931 | V 0.013 | pL -0.005 | vL 0.004 | ∇ 0.018
U 14 | F 229376 | FPS 0389 | D 709 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.002 | ADR: 0.002 | F:μσmM 732.5 335.0 77.0 1000.0 | H 1.920 | V 0.018 | pL 0.003 | vL 0.003 | ∇ 0.016
U 15 | F 245760 | FPS 0355 | D 755 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.003 | ADR: 0.009 | F:μσmM 719.5 357.3 45.0 1000.0 | H 1.921 | V 0.014 | pL -0.003 | vL 0.004 | ∇ 0.017
U 16 | F 262144 | FPS 0385 | D 798 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.003 | ADR: 0.007 | F:μσmM 648.5 407.1 70.0 1000.0 | H 1.915 | V 0.020 | pL 0.003 | vL 0.004 | ∇ 0.016
U 17 | F 278528 | FPS 0376 | D 841 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.004 | ADR: 0.012 | F:μσmM 627.9 395.6 41.0 1000.0 | H 1.901 | V 0.023 | pL 0.002 | vL 0.004 | ∇ 0.021
