train_agent.py --algo ppo --env Adversarial-v0 --ltl-sampler Adversarial --frames-per-proc 1024 --discount 0.96 --log-interval 1 --save-interval 50 --frames 2490368 --gnn RGCN_8x32_ROOT_SHARED --use-dfa --seed 2

Namespace(algo='ppo', batch_size=256, checkpoint_dir=None, clip_eps=0.2, discount=0.96, dumb_ac=False, entropy_coef=0.01, env='Adversarial-v0', epochs=4, eval=False, eval_env=None, eval_episodes=5, eval_procs=1, frames=2490368, frames_per_proc=1024, freeze_ltl=False, gae_lambda=0.95, gnn='RGCN_8x32_ROOT_SHARED', ignoreLTL=False, int_reward=0.0, log_interval=1, lr=0.0003, ltl_sampler='Adversarial', ltl_samplers_eval=None, max_grad_norm=0.5, model=None, noLTL=False, optim_alpha=0.99, optim_eps=1e-08, pretrained_gnn=False, procs=16, progression_mode='full', recurrence=1, save_interval=50, seed=2, use_dfa=True, use_mean_guard_embed=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded.

Observations preprocessor loaded.

Model loaded.

ACModel(
  (env_model): MinigridEnvModel(
    (image_conv): Sequential(
      (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
      (1): ReLU()
      (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
      (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
      (4): ReLU()
      (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
      (6): ReLU()
    )
  )
  (gnn): RGCNRootShared(
    (linear_in): Linear(in_features=22, out_features=32, bias=True)
    (conv): RelGraphConv(
      (dropout): Dropout(p=0.0, inplace=False)
    )
    (g_embed): Linear(in_features=32, out_features=32, bias=True)
  )
  (actor): PolicyNetwork(
    (enc_): Sequential(
      (0): Sequential(
        (0): Linear(in_features=96, out_features=64, bias=True)
        (1): ReLU()
      )
      (1): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
      (2): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
    )
    (discrete_): Sequential(
      (0): Linear(in_features=64, out_features=7, bias=True)
    )
  )
  (critic): Sequential(
    (0): Linear(in_features=96, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=64, bias=True)
    (3): Tanh()
    (4): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded.

U 1 | F 016384 | FPS 0237 | D 69 | rR:μσmM 0.31 0.46 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 880.8 231.9 240.0 1000.0 | H 1.934 | V 0.145 | pL 0.115 | vL 0.002 | ∇ 0.028
U 2 | F 032768 | FPS 0284 | D 126 | rR:μσmM 0.37 0.48 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 805.3 261.6 344.0 1000.0 | H 1.936 | V 0.085 | pL 0.062 | vL 0.002 | ∇ 0.021
U 3 | F 049152 | FPS 0249 | D 192 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 677.7 350.0 104.0 1000.0 | H 1.941 | V 0.051 | pL 0.029 | vL 0.003 | ∇ 0.022
U 4 | F 065536 | FPS 0248 | D 258 | rR:μσmM 0.64 0.48 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 617.3 336.3 117.0 1000.0 | H 1.936 | V 0.040 | pL 0.013 | vL 0.004 | ∇ 0.028
U 5 | F 081920 | FPS 0268 | D 319 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.009 | F:μσmM 775.6 309.0 43.0 1000.0 | H 1.926 | V 0.040 | pL 0.021 | vL 0.003 | ∇ 0.030
U 6 | F 098304 | FPS 0237 | D 388 | rR:μσmM 0.26 0.44 0.00 1.00 | ARPS: 0.002 | ADR: 0.007 | F:μσmM 817.6 320.8 53.0 1000.0 | H 1.934 | V 0.021 | pL 0.011 | vL 0.002 | ∇ 0.017
U 7 | F 114688 | FPS 0254 | D 453 | rR:μσmM 0.37 0.48 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 818.2 301.8 180.0 1000.0 | H 1.934 | V 0.020 | pL 0.007 | vL 0.002 | ∇ 0.018
U 8 | F 131072 | FPS 0271 | D 513 | rR:μσmM 0.38 0.48 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 717.2 376.5 115.0 1000.0 | H 1.935 | V 0.018 | pL 0.004 | vL 0.003 | ∇ 0.023
U 9 | F 147456 | FPS 0253 | D 578 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.000 | F:μσmM 701.7 339.9 146.0 1000.0 | H 1.929 | V 0.016 | pL -0.002 | vL 0.004 | ∇ 0.023
U 10 | F 163840 | FPS 0271 | D 639 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 770.5 297.2 181.0 1000.0 | H 1.921 | V 0.020 | pL 0.003 | vL 0.003 | ∇ 0.021
U 11 | F 180224 | FPS 0300 | D 693 | rR:μσmM 0.38 0.48 0.00 1.00 | ARPS: 0.002 | ADR: 0.002 | F:μσmM 789.5 326.2 91.0 1000.0 | H 1.917 | V 0.029 | pL 0.012 | vL 0.003 | ∇ 0.022
U 12 | F 196608 | FPS 0305 | D 747 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.004 | F:μσmM 674.5 371.6 73.0 1000.0 | H 1.921 | V 0.025 | pL 0.008 | vL 0.003 | ∇ 0.020
U 13 | F 212992 | FPS 0289 | D 804 | rR:μσmM 0.29 0.45 0.00 1.00 | ARPS: 0.001 | ADR: 0.001 | F:μσmM 829.1 322.3 100.0 1000.0 | H 1.927 | V 0.016 | pL 0.005 | vL 0.002 | ∇ 0.017
U 14 | F 229376 | FPS 0274 | D 864 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.000 | F:μσmM 637.0 363.0 124.0 1000.0 | H 1.922 | V 0.019 | pL -0.004 | vL 0.005 | ∇ 0.025
U 15 | F 245760 | FPS 0283 | D 921 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 664.9 365.1 100.0 1000.0 | H 1.918 | V 0.025 | pL 0.005 | vL 0.004 | ∇ 0.023
U 16 | F 262144 | FPS 0332 | D 971 | rR:μσmM 0.39 0.49 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 712.1 368.6 99.0 1000.0 | H 1.902 | V 0.019 | pL 0.006 | vL 0.003 | ∇ 0.019
U 17 | F 278528 | FPS 0320 | D 1022 | rR:μσmM 0.44 0.50 0.00 1.00 | ARPS: 0.003 | ADR: 0.007 | F:μσmM 666.7 401.0 69.0 1000.0 | H 1.906 | V 0.017 | pL -0.001 | vL 0.004 | ∇ 0.021
U 18 | F 294912 | FPS 0316 | D 1074 | rR:μσmM 0.68 0.47 0.00 1.00 | ARPS: 0.006 | ADR: 0.019 | F:μσmM 434.8 402.8 43.0 1000.0 | H 1.895 | V 0.023 | pL -0.009 | vL 0.007 | ∇ 0.035
U 19 | F 311296 | FPS 0299 | D 1129 | rR:μσmM 0.67 0.47 0.00 1.00 | ARPS: 0.007 | ADR: 0.025 | F:μσmM 429.6 410.5 36.0 1000.0 | H 1.892 | V 0.025 | pL -0.006 | vL 0.007 | ∇ 0.035
U 20 | F 327680 | FPS 0318 | D 1180 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.006 | ADR: 0.026 | F:μσmM 586.8 447.6 30.0 1000.0 | H 1.890 | V 0.026 | pL 0.007 | vL 0.004 | ∇ 0.027
U 21 | F 344064 | FPS 0346 | D 1228 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.009 | ADR: 0.071 | F:μσmM 567.9 450.1 22.0 1000.0 | H 1.884 | V 0.022 | pL -0.000 | vL 0.005 | ∇ 0.027
U 22 | F 360448 | FPS 0340 | D 1276 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.006 | ADR: 0.033 | F:μσmM 589.7 447.4 38.0 1000.0 | H 1.898 | V 0.016 | pL -0.001 | vL 0.004 | ∇ 0.024
U 23 | F 376832 | FPS 0336 | D 1325 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.009 | ADR: 0.070 | F:μσmM 597.4 465.4 24.0 1000.0 | H 1.904 | V 0.014 | pL -0.003 | vL 0.004 | ∇ 0.023
U 24 | F 393216 | FPS 0331 | D 1374 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.007 | ADR: 0.042 | F:μσmM 607.1 454.9 32.0 1000.0 | H 1.902 | V 0.018 | pL 0.002 | vL 0.004 | ∇ 0.022
U 25 | F 409600 | FPS 0364 | D 1419 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.011 | ADR: 0.070 | F:μσmM 474.4 454.3 12.0 1000.0 | H 1.898 | V 0.026 | pL -0.002 | vL 0.006 | ∇ 0.029
U 26 | F 425984 | FPS 0355 | D 1465 | rR:μσmM 0.32 0.47 0.00 1.00 | ARPS: 0.005 | ADR: 0.036 | F:μσmM 711.0 422.8 24.0 1000.0 | H 1.904 | V 0.018 | pL 0.005 | vL 0.003 | ∇ 0.017
