train_agent.py --algo ppo --env Adversarial-v0 --ltl-sampler Adversarial --frames-per-proc 1024 --discount 0.96 --log-interval 1 --save-interval 50 --frames 2490368 --seed 4

Namespace(algo='ppo', batch_size=256, checkpoint_dir=None, clip_eps=0.2, discount=0.96, dumb_ac=False, entropy_coef=0.01, env='Adversarial-v0', epochs=4, eval=False, eval_env=None, eval_episodes=5, eval_procs=1, frames=2490368, frames_per_proc=1024, freeze_ltl=False, gae_lambda=0.95, gnn='RGCN_8x32_ROOT_SHARED', ignoreLTL=False, int_reward=0.0, log_interval=1, lr=0.0003, ltl_sampler='Adversarial', ltl_samplers_eval=None, max_grad_norm=0.5, model=None, noLTL=False, optim_alpha=0.99, optim_eps=1e-08, pretrained_gnn=False, procs=16, progression_mode='full', recurrence=1, save_interval=50, seed=4, use_dfa=False, use_mean_guard_embed=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded.

Observations preprocessor loaded.

Model loaded.

ACModel(
  (env_model): MinigridEnvModel(
    (image_conv): Sequential(
      (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
      (1): ReLU()
      (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
      (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
      (4): ReLU()
      (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
      (6): ReLU()
    )
  )
  (gnn): RGCNRootShared(
    (linear_in): Linear(in_features=22, out_features=32, bias=True)
    (conv): RelGraphConv(
      (dropout): Dropout(p=0.0, inplace=False)
    )
    (g_embed): Linear(in_features=32, out_features=32, bias=True)
  )
  (actor): PolicyNetwork(
    (enc_): Sequential(
      (0): Sequential(
        (0): Linear(in_features=96, out_features=64, bias=True)
        (1): ReLU()
      )
      (1): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
      (2): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
    )
    (discrete_): Sequential(
      (0): Linear(in_features=64, out_features=7, bias=True)
    )
  )
  (critic): Sequential(
    (0): Linear(in_features=96, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=64, bias=True)
    (3): Tanh()
    (4): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded.

U 1 | F 016384 | FPS 0311 | D 52 | rR:μσmM 0.44 0.50 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 834.0 240.2 205.0 1000.0 | H 1.937 | V 0.115 | pL 0.086 | vL 0.002 | ∇ 0.030
U 2 | F 032768 | FPS 0322 | D 103 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 769.1 273.7 230.0 1000.0 | H 1.938 | V 0.069 | pL 0.045 | vL 0.003 | ∇ 0.032
U 3 | F 049152 | FPS 0332 | D 153 | rR:μσmM 0.40 0.49 0.00 1.00 | ARPS: 0.002 | ADR: 0.009 | F:μσmM 777.5 324.9 43.0 1000.0 | H 1.932 | V 0.044 | pL 0.027 | vL 0.003 | ∇ 0.027
U 4 | F 065536 | FPS 0303 | D 207 | rR:μσmM 0.18 0.38 0.00 1.00 | ARPS: 0.000 | ADR: 0.000 | F:μσmM 930.2 200.2 216.0 1000.0 | H 1.940 | V 0.027 | pL 0.019 | vL 0.001 | ∇ 0.019
U 5 | F 081920 | FPS 0303 | D 261 | rR:μσmM 0.22 0.42 0.00 1.00 | ARPS: 0.000 | ADR: 0.000 | F:μσmM 920.9 163.7 397.0 1000.0 | H 1.935 | V 0.019 | pL 0.011 | vL 0.001 | ∇ 0.021
U 6 | F 098304 | FPS 0321 | D 312 | rR:μσmM 0.57 0.49 0.00 1.00 | ARPS: 0.002 | ADR: 0.000 | F:μσmM 735.4 294.7 121.0 1000.0 | H 1.923 | V 0.020 | pL 0.002 | vL 0.004 | ∇ 0.040
U 7 | F 114688 | FPS 0344 | D 359 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 742.2 322.2 134.0 1000.0 | H 1.915 | V 0.030 | pL 0.012 | vL 0.003 | ∇ 0.029
U 8 | F 131072 | FPS 0304 | D 413 | rR:μσmM 0.37 0.48 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 793.6 303.0 118.0 1000.0 | H 1.929 | V 0.017 | pL 0.005 | vL 0.002 | ∇ 0.028
U 9 | F 147456 | FPS 0320 | D 465 | rR:μσmM 0.40 0.49 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 760.5 317.0 122.0 1000.0 | H 1.915 | V 0.016 | pL 0.003 | vL 0.003 | ∇ 0.023
U 10 | F 163840 | FPS 0318 | D 516 | rR:μσmM 0.38 0.49 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 787.5 289.0 243.0 1000.0 | H 1.917 | V 0.011 | pL -0.001 | vL 0.003 | ∇ 0.023
U 11 | F 180224 | FPS 0318 | D 567 | rR:μσmM 0.32 0.46 0.00 1.00 | ARPS: 0.002 | ADR: 0.002 | F:μσmM 822.5 322.0 103.0 1000.0 | H 1.927 | V 0.011 | pL 0.002 | vL 0.002 | ∇ 0.019
