train_agent.py --algo ppo --env Adversarial-v0 --ltl-sampler Adversarial --frames-per-proc 1024 --discount 0.96 --log-interval 1 --save-interval 50 --frames 2490368 --gnn RGCN_8x32_ROOT_SHARED --use-dfa --seed 6

Namespace(algo='ppo', batch_size=256, checkpoint_dir=None, clip_eps=0.2, discount=0.96, dumb_ac=False, entropy_coef=0.01, env='Adversarial-v0', epochs=4, eval=False, eval_env=None, eval_episodes=5, eval_procs=1, frames=2490368, frames_per_proc=1024, freeze_ltl=False, gae_lambda=0.95, gnn='RGCN_8x32_ROOT_SHARED', ignoreLTL=False, int_reward=0.0, log_interval=1, lr=0.0003, ltl_sampler='Adversarial', ltl_samplers_eval=None, max_grad_norm=0.5, model=None, noLTL=False, optim_alpha=0.99, optim_eps=1e-08, pretrained_gnn=False, procs=16, progression_mode='full', recurrence=1, save_interval=50, seed=6, use_dfa=True, use_mean_guard_embed=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded.

Observations preprocessor loaded.

Model loaded.

ACModel(
  (env_model): MinigridEnvModel(
    (image_conv): Sequential(
      (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
      (1): ReLU()
      (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
      (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
      (4): ReLU()
      (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
      (6): ReLU()
    )
  )
  (gnn): RGCNRootShared(
    (linear_in): Linear(in_features=22, out_features=32, bias=True)
    (conv): RelGraphConv(
      (dropout): Dropout(p=0.0, inplace=False)
    )
    (g_embed): Linear(in_features=32, out_features=32, bias=True)
  )
  (actor): PolicyNetwork(
    (enc_): Sequential(
      (0): Sequential(
        (0): Linear(in_features=96, out_features=64, bias=True)
        (1): ReLU()
      )
      (1): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
      (2): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
    )
    (discrete_): Sequential(
      (0): Linear(in_features=64, out_features=7, bias=True)
    )
  )
  (critic): Sequential(
    (0): Linear(in_features=96, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=64, bias=True)
    (3): Tanh()
    (4): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded.

U 1 | F 016384 | FPS 0257 | D 63 | rR:μσmM 0.25 0.43 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 872.3 245.4 164.0 1000.0 | H 1.926 | V -0.200 | pL -0.170 | vL 0.004 | ∇ 0.047
U 2 | F 032768 | FPS 0255 | D 128 | rR:μσmM 0.32 0.46 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 859.1 245.3 245.0 1000.0 | H 1.938 | V -0.110 | pL -0.101 | vL 0.002 | ∇ 0.033
U 3 | F 049152 | FPS 0246 | D 194 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 784.8 259.7 164.0 1000.0 | H 1.940 | V -0.050 | pL -0.055 | vL 0.003 | ∇ 0.031
U 4 | F 065536 | FPS 0275 | D 254 | rR:μσmM 0.29 0.46 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 856.1 263.1 253.0 1000.0 | H 1.938 | V -0.010 | pL -0.015 | vL 0.002 | ∇ 0.027
U 5 | F 081920 | FPS 0261 | D 316 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 750.6 318.8 105.0 1000.0 | H 1.938 | V 0.001 | pL -0.014 | vL 0.004 | ∇ 0.030
U 6 | F 098304 | FPS 0263 | D 379 | rR:μσmM 0.28 0.45 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 863.8 262.8 130.0 1000.0 | H 1.936 | V 0.004 | pL -0.003 | vL 0.002 | ∇ 0.020
U 7 | F 114688 | FPS 0266 | D 440 | rR:μσmM 0.55 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.011 | F:μσmM 758.6 315.1 39.0 1000.0 | H 1.934 | V 0.013 | pL -0.004 | vL 0.003 | ∇ 0.036
U 8 | F 131072 | FPS 0286 | D 498 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 821.9 253.4 324.0 1000.0 | H 1.928 | V 0.015 | pL 0.001 | vL 0.003 | ∇ 0.023
U 9 | F 147456 | FPS 0273 | D 558 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 723.7 316.8 204.0 1000.0 | H 1.924 | V 0.009 | pL -0.006 | vL 0.003 | ∇ 0.029
U 10 | F 163840 | FPS 0285 | D 615 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 831.7 288.5 164.0 1000.0 | H 1.926 | V 0.007 | pL -0.003 | vL 0.002 | ∇ 0.023
U 11 | F 180224 | FPS 0279 | D 674 | rR:μσmM 0.38 0.48 0.00 1.00 | ARPS: 0.003 | ADR: 0.009 | F:μσmM 741.9 370.2 44.0 1000.0 | H 1.923 | V 0.012 | pL -0.002 | vL 0.003 | ∇ 0.026
U 12 | F 196608 | FPS 0269 | D 735 | rR:μσmM 0.29 0.46 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 863.1 243.4 208.0 1000.0 | H 1.931 | V 0.010 | pL 0.002 | vL 0.002 | ∇ 0.020
U 13 | F 212992 | FPS 0282 | D 793 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.002 | F:μσmM 728.3 326.4 81.0 1000.0 | H 1.927 | V 0.016 | pL 0.000 | vL 0.003 | ∇ 0.023
U 14 | F 229376 | FPS 0284 | D 850 | rR:μσmM 0.41 0.49 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 740.9 340.2 106.0 1000.0 | H 1.920 | V 0.016 | pL 0.001 | vL 0.003 | ∇ 0.025
U 15 | F 245760 | FPS 0292 | D 906 | rR:μσmM 0.42 0.49 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 729.4 332.7 134.0 1000.0 | H 1.925 | V 0.012 | pL -0.004 | vL 0.004 | ∇ 0.023
U 16 | F 262144 | FPS 0292 | D 963 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 688.5 353.5 104.0 1000.0 | H 1.919 | V 0.014 | pL -0.005 | vL 0.004 | ∇ 0.025
U 17 | F 278528 | FPS 0308 | D 1016 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.003 | ADR: 0.011 | F:μσmM 659.6 386.5 34.0 1000.0 | H 1.905 | V 0.015 | pL -0.002 | vL 0.004 | ∇ 0.025
U 18 | F 294912 | FPS 0322 | D 1067 | rR:μσmM 0.62 0.49 0.00 1.00 | ARPS: 0.005 | ADR: 0.018 | F:μσmM 530.8 403.6 48.0 1000.0 | H 1.893 | V 0.020 | pL -0.007 | vL 0.006 | ∇ 0.033
U 19 | F 311296 | FPS 0345 | D 1114 | rR:μσmM 0.57 0.49 0.00 1.00 | ARPS: 0.009 | ADR: 0.050 | F:μσmM 491.7 446.0 26.0 1000.0 | H 1.879 | V 0.023 | pL -0.006 | vL 0.007 | ∇ 0.033
