train_agent.py --algo ppo --env Adversarial-v0 --ltl-sampler Adversarial --frames-per-proc 1024 --discount 0.96 --log-interval 1 --save-interval 50 --frames 2490368 --seed 7

Namespace(algo='ppo', batch_size=256, checkpoint_dir=None, clip_eps=0.2, discount=0.96, dumb_ac=False, entropy_coef=0.01, env='Adversarial-v0', epochs=4, eval=False, eval_env=None, eval_episodes=5, eval_procs=1, frames=2490368, frames_per_proc=1024, freeze_ltl=False, gae_lambda=0.95, gnn='RGCN_8x32_ROOT_SHARED', ignoreLTL=False, int_reward=0.0, log_interval=1, lr=0.0003, ltl_sampler='Adversarial', ltl_samplers_eval=None, max_grad_norm=0.5, model=None, noLTL=False, optim_alpha=0.99, optim_eps=1e-08, pretrained_gnn=False, procs=16, progression_mode='full', recurrence=1, save_interval=50, seed=7, use_dfa=False, use_mean_guard_embed=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded.

Observations preprocessor loaded.

Model loaded.

ACModel(
  (env_model): MinigridEnvModel(
    (image_conv): Sequential(
      (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
      (1): ReLU()
      (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
      (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
      (4): ReLU()
      (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
      (6): ReLU()
    )
  )
  (gnn): RGCNRootShared(
    (linear_in): Linear(in_features=22, out_features=32, bias=True)
    (conv): RelGraphConv(
      (dropout): Dropout(p=0.0, inplace=False)
    )
    (g_embed): Linear(in_features=32, out_features=32, bias=True)
  )
  (actor): PolicyNetwork(
    (enc_): Sequential(
      (0): Sequential(
        (0): Linear(in_features=96, out_features=64, bias=True)
        (1): ReLU()
      )
      (1): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
      (2): Sequential(
        (0): Linear(in_features=64, out_features=64, bias=True)
        (1): ReLU()
      )
    )
    (discrete_): Sequential(
      (0): Linear(in_features=64, out_features=7, bias=True)
    )
  )
  (critic): Sequential(
    (0): Linear(in_features=96, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=64, bias=True)
    (3): Tanh()
    (4): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded.

U 1 | F 016384 | FPS 0335 | D 48 | rR:μσmM 0.39 0.49 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 764.6 314.2 188.0 1000.0 | H 1.942 | V -0.078 | pL -0.075 | vL 0.003 | ∇ 0.020
U 2 | F 032768 | FPS 0334 | D 97 | rR:μσmM 0.19 0.39 0.00 1.00 | ARPS: 0.000 | ADR: 0.000 | F:μσmM 883.5 243.0 331.0 1000.0 | H 1.942 | V -0.039 | pL -0.037 | vL 0.001 | ∇ 0.012
U 3 | F 049152 | FPS 0342 | D 145 | rR:μσmM 0.24 0.42 0.00 1.00 | ARPS: 0.000 | ADR: 0.000 | F:μσmM 908.6 185.7 338.0 1000.0 | H 1.942 | V -0.016 | pL -0.019 | vL 0.001 | ∇ 0.011
U 4 | F 065536 | FPS 0325 | D 196 | rR:μσmM 0.24 0.42 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 848.6 286.6 146.0 1000.0 | H 1.942 | V -0.007 | pL -0.011 | vL 0.001 | ∇ 0.010
U 5 | F 081920 | FPS 0332 | D 245 | rR:μσmM 0.21 0.41 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 869.4 256.8 288.0 1000.0 | H 1.941 | V 0.000 | pL -0.005 | vL 0.001 | ∇ 0.010
U 6 | F 098304 | FPS 0335 | D 294 | rR:μσmM 0.28 0.45 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 842.4 274.0 185.0 1000.0 | H 1.940 | V 0.005 | pL -0.002 | vL 0.002 | ∇ 0.011
U 7 | F 114688 | FPS 0322 | D 345 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.002 | ADR: 0.012 | F:μσmM 877.3 250.9 37.0 1000.0 | H 1.939 | V 0.005 | pL -0.004 | vL 0.002 | ∇ 0.012
U 8 | F 131072 | FPS 0353 | D 391 | rR:μσmM 0.40 0.49 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 831.0 236.3 331.0 1000.0 | H 1.935 | V 0.013 | pL 0.001 | vL 0.002 | ∇ 0.015
U 9 | F 147456 | FPS 0351 | D 438 | rR:μσmM 0.41 0.49 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 788.5 303.2 201.0 1000.0 | H 1.933 | V 0.009 | pL -0.004 | vL 0.003 | ∇ 0.015
U 10 | F 163840 | FPS 0329 | D 488 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.003 | ADR: 0.011 | F:μσmM 642.8 365.6 38.0 1000.0 | H 1.932 | V 0.012 | pL -0.006 | vL 0.004 | ∇ 0.019
U 11 | F 180224 | FPS 0335 | D 537 | rR:μσmM 0.54 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 625.0 358.4 110.0 1000.0 | H 1.925 | V 0.014 | pL -0.006 | vL 0.004 | ∇ 0.021
